Id;Nome;
1;Fundamentos de Cálculo;
2;Algoritmos e Estruturas de Dados I;
3;Laboratório de Programação;
4;Matemática Discreta;
5;Português Instrumental;
6;Inglês Instrumental;
7;Introdução à Ciência de Computação;
8;Geometria Analítica e Álgebra Linear;
9;Cálculo Diferencial e Integral I;
10;Lógica Matemática;
11;Algoritmos e Estrutura de Dados II;
12;AAIFE I;
13;Cálculo Diferencial e Integral II;
14;Banco de Dados I;
15;Física I;
16;Orientação a Objetos;
17;Algoritmos e Estruturas de Dados III;
18;Estatística e Probabilidade;
19;AAIFE II;
20;Física III;
21;Cálculo Diferencial e Integral III;
22;Laboratório de Programação Web;
23;Análise e Projeto de Algoritmos;
24;Circuitos Digitais;
25;Engenharia de Software;
26;Banco de Dados II;
27;Metodologia Científica Aplicada à Computação;
28;Cálculo Numérico;
29;Equações Diferenciais Ordinárias;
30;Teoria dos Grafos;
31;Linguagens Formais e Autômatos;
32;Modelagem de Software;
33;Arquitetura de Computadores I;
34;Teoria da Computação;
35;Inteligência Artificial;
36;Linguagens de Programação;
37;Sistemas Operacionais;
38;Pesquisa Operacional;
39;Redes de Computadores;
40;Seminários em Computação;
41;Compiladores;
42;Computação Gráfica;
43;Interação Humano-Computador;
44;Sistemas Paralelos e Distribuídos;
45;Trabalho de Conclusão de Curso I;
46;AAIFE III;
47;AAIFE IV;
48;Trabalho de Conclusão de Curso II;